oid,Item Description,unit_of_measure,lo,lead_time,burn_rate,Stock Units Analytical
001064,Remover Adhesive Pad BX/100,Each,Perpetual,0.5,2.0,155.0
001065,Remover Nail Polish Pad No Acetone 1 1/8in x 2 3/8in,Each,"Level 5 Observation, Medical Tele & Non-Tele",0.5,1.92,57.0
001065,Remover Nail Polish Pad No Acetone 1 1/8in x 2 3/8in,Each,"Level 5 Observation, Medical Tele & Non-Tele",0.5,0.28,23.0
001065,Remover Nail Polish Pad No Acetone 1 1/8in x 2 3/8in,Each,"Level 6 Telemetry, Cardiac & Stroke",0.5,5.76,81.0
001065,Remover Nail Polish Pad No Acetone 1 1/8in x 2 3/8in,Each,Level 7 ICU,0.5,0.82,42.0
803952,Syringe Tb 1Cc 25Ga X 0.625In Ndl Safty,Each,Level 2 Pharm,1.5,53.0,57.0
001071,Blanket Warm Full Body Thermacare 40x90in,Each,Level 1 ED,0.5,0.0,18.0
001071,Blanket Warm Full Body Thermacare 40x90in,Each,Level 2 Surgery/Procedures/PACU,0.5,0.06,4.0
001071,Blanket Warm Full Body Thermacare 40x90in,Each,Level 7 ICU,0.5,0.06,3.0
001078,Blade Sclerotome Ophthalmic Multi-Sided Sharp All Around,Each,Level 2 Surgery/Procedures/PACU,1.5,0.08,6.0
001079,Blade Ophthalmic Mini Round Tip One Side Sharp,Each,Level 2 Surgery/Procedures/PACU,1.0,0.28,20.0
001102,Set Extension Microbore T-Connector Slide Clamp LF NS 7in,Each,Level 1 ED,0.5,0.22,6.0
001102,Set Extension Microbore T-Connector Slide Clamp LF NS 7in,Each,Level 7 ICU,0.5,0.38,10.0
001103,Plug Adapter Port Male Lifshld MicClv Non DEHP LF,Each,Level 1 ED,0.5,56.0,56.0
030816,Kit Chemo Spill,Each,Level 2 Pharm,2.0,0.0,1.0
001103,Plug Adapter Port Male Lifshld MicClv Non DEHP LF,Each,"Level 5 Observation, Medical Tele & Non-Tele",0.5,91.0,96.0
001103,Plug Adapter Port Male Lifshld MicClv Non DEHP LF,Each,"Level 6 Telemetry, Cardiac & Stroke",0.5,63.0,63.0
001103,Plug Adapter Port Male Lifshld MicClv Non DEHP LF,Each,Level 7 ICU,0.5,82.0,82.0
001103,Plug Adapter Port Male Lifshld MicClv Non DEHP LF,Each,Perpetual,0.5,30.0,100.0
001105,Mask O2 Ped 7ft Soft LF,Each,Level 1 ED,1.5,0.04,3.0
001116,Liner Canister Suction Soft W/ Blue Lid Medi-Vac Flx Adv 300,Each,Level 2 Surgery/Procedures/PACU,1.0,6.6,61.0
032028,Filter Lipid 1.2 Micron Extension,Each,Level 2 Pharm,3.0,0.28,32.0
001123,Gown Chemo XL,Each,"Level 5 Observation, Medical Tele & Non-Tele",1.0,0.08,7.0
001123,Gown Chemo XL,Each,"Level 6 Telemetry, Cardiac & Stroke",1.0,0.08,7.0
000523,Sol IV LR 1000ml,Each,Level 2 Pharm,0.5,4.0,4.0
001126,Gown Chemotherapy NS Large,Bag,Level 2 Surgery/Procedures/PACU,1.0,0.04,2.0
001128,Glove Chemo Non-Sterile Small Nitrile,Each,"Level 6 Telemetry, Cardiac & Stroke",0.5,0.28,17.0
001131,Glove Chemo Non-Sterile Medium Nitrile,Each,"Level 6 Telemetry, Cardiac & Stroke",0.5,0.42,25.0
001133,Lancet Blood Colltn Finger Sticks,Each,Level 1 ED,0.5,300.0,300.0
001133,Lancet Blood Colltn Finger Sticks,Each,"Level 5 Observation, Medical Tele & Non-Tele",0.5,557.0,557.0
001133,Lancet Blood Colltn Finger Sticks,Each,"Level 6 Telemetry, Cardiac & Stroke",0.5,367.0,367.0
001133,Lancet Blood Colltn Finger Sticks,Each,Level 7 ICU,0.5,383.0,383.0
001133,Lancet Blood Colltn Finger Sticks,Each,Perpetual,0.5,9.0,49.0
001139,Glove Chemo Non-Sterile Large Nitrile,Each,"Level 5 Observation, Medical Tele & Non-Tele",1.0,0.28,23.0
001141,Gown Bair Paws Standard Flex Warming,Each,Level 2 Surgery/Procedures/PACU,0.5,0.04,25.0
001141,Gown Bair Paws Standard Flex Warming,Each,Level 2 Surgery/Procedures/PACU,0.5,0.04,16.0
001141,Gown Bair Paws Standard Flex Warming,Each,Level 2 Surgery/Procedures/PACU,0.5,0.04,2.0
001144,Jacket Warmup Lg Disp,Each,Level 1 Imaging,0.5,30.0,30.0
001144,Jacket Warmup Lg Disp,Each,Perpetual,0.5,0.0,25.0
001146,Jacket Warmup XL Slv Spunbond Blue,Each,Level 2 Surgery/Procedures/PACU,0.5,18.3,89.0
001147,Tray Spinal 25g Gertie Marx Needle,Each,Level 2 Surgery/Procedures/PACU,0.5,0.38,10.0
001148,Gown Bair Paws X-Large Flex Warming,Each,Level 2 Surgery/Procedures/PACU,1.0,0.02,2.0
001158,Set IV Primary Gravity 3 Port Non-Sterile 100in,Each,"Level 5 Observation, Medical Tele & Non-Tele",0.5,6.0,6.0
001158,Set IV Primary Gravity 3 Port Non-Sterile 100in,Each,Perpetual,0.5,0.0,22.0
001168,Catheter External Female Purewick,Each,Level 1 ED,0.5,2.46,17.0
001168,Catheter External Female Purewick,Each,"Level 5 Observation, Medical Tele & Non-Tele",0.5,8.58,42.0
001168,Catheter External Female Purewick,Each,"Level 5 Observation, Medical Tele & Non-Tele",0.5,7.56,35.0
001168,Catheter External Female Purewick,Each,"Level 6 Telemetry, Cardiac & Stroke",0.5,9.0,50.0
001168,Catheter External Female Purewick,Each,Level 7 ICU,0.5,2.0,25.0
001171,Tube Trach 8mm XLT Distal Cuffed,Each,Level 7 ICU,1.0,0.0,1.0
001173,Tube Trach 8mm XLT Proximal Cuffed,Each,Level 7 ICU,1.0,0.02,1.0
001180,Applier Clip Med 11in Lig Disp,Each,Level 2 Surgery/Procedures/PACU,1.0,0.54,8.0
001181,Applier Clip 10mm Endo Rot Mult Md/Lg,Each,Level 2 Surgery/Procedures/PACU,0.5,0.02,2.0
001192,Scissors Endo 5mmx21cm Monoplr Cvd Disp,Each,Level 2 Surgery/Procedures/PACU,1.0,0.52,6.0
001194,Stapler Linear Cut 55 Safe Lockout,Each,Level 2 Surgery/Procedures/PACU,1.0,0.02,1.0
001195,Reload Stpl 55mm Linear Cut Prox Bl,Each,Level 2 Surgery/Procedures/PACU,1.0,0.02,2.0
001197,Stapler Linear Cut 3.5mm Reload Prox TX 60 Bl,Each,Level 2 Surgery/Procedures/PACU,1.0,0.04,2.0
001199,Liner Pitcher Plastic LF,Each,"Level 5 Observation, Medical Tele & Non-Tele",0.5,807.0,1337.0
001199,Liner Pitcher Plastic LF,Each,"Level 6 Telemetry, Cardiac & Stroke",0.5,383.0,383.0
001199,Liner Pitcher Plastic LF,Each,Level 7 ICU,0.5,383.0,425.0
001199,Liner Pitcher Plastic LF,Each,Perpetual,0.5,126.0,509.0
001200,Applier Clip Lg 13in Lig Mult Mca,Each,Level 2 Surgery/Procedures/PACU,0.5,0.04,2.0
001217,Pack Morgue Child 36x60in,Each,Level 1 ED,1.0,0.0,1.0
001218,Kit Reduction Fog,Each,Level 2 Surgery/Procedures/PACU,0.5,1.28,8.0
001218,Kit Reduction Fog,Each,Level 7 ICU,0.5,0.08,4.0
001224,Prep Skin Duraprep Iodophor Alch Appli 26ml,Each,Level 2 Surgery/Procedures/PACU,3.34,0.28,11.0
001227,Drape Isol Ioban Clr Plast Strl LF 125in x 83in,Each,Level 2 Surgery/Procedures/PACU,1.0,0.56,7.0
001227,Drape Isol Ioban Clr Plast Strl LF 125in x 83in,Each,Level 2 Surgery/Procedures/PACU,1.0,0.52,5.0
001236,Detergent Instr Endozime,Each,Level 2 Surgery/Procedures/PACU,53.0,0.02,12.0
001237,Swab Flocked Minitip 3ml UTM,Each,Level 3 Central Lab,2.0,11.96,540.0
001243,Pillow Chemsoft 19x25in Reuseable,Each,Level 1 EVS_1321,8.0,8.18,167.0
001243,Pillow Chemsoft 19x25in Reuseable,Each,Level 1 EVS_1321,1.34,8.18,85.0
001243,Pillow Chemsoft 19x25in Reuseable,Each,Level 1 EVS_1321,1.34,8.38,33.0
001243,Pillow Chemsoft 19x25in Reuseable,Each,Perpetual,8.0,8.0,142.5
001246,Cover Boot XL Dry Leg,Each,Level 2 Surgery/Procedures/PACU,0.5,7.82,100.0
001251,Tube Blood Collection Lithium Heparin Microtainer Green 500,Each,Level 3 Central Lab,1.0,0.28,23.0
001253,Tube Blood Collection K3 EDTA Microtainer Lavender 500 Micro,Each,Level 3 Central Lab,1.0,0.28,32.0
001254,Tube Blood Collection No Additive Microtainer Red 700 Microl,Each,Level 3 Central Lab,0.5,0.28,17.0
001258,Toothpaste 0.75oz,Each,"Level 5 Observation, Medical Tele & Non-Tele",0.66,94.0,94.0
001258,Toothpaste 0.75oz,Each,"Level 6 Telemetry, Cardiac & Stroke",0.66,59.0,59.0
001258,Toothpaste 0.75oz,Each,Level 7 ICU,0.66,21.0,22.0
001258,Toothpaste 0.75oz,Each,Perpetual,0.66,23.0,58.0
001264,Guard Anchorfast Oral Endo,Each,Respiratory Therapy,0.5,0.52,9.0
001275,Wash Peri 4oz 2in 1 Aloe Vesta,Each,"Level 5 Observation, Medical Tele & Non-Tele",0.5,47.0,47.0
001275,Wash Peri 4oz 2in 1 Aloe Vesta,Each,"Level 6 Telemetry, Cardiac & Stroke",0.5,28.0,28.0
001275,Wash Peri 4oz 2in 1 Aloe Vesta,Each,Level 7 ICU,0.5,10.0,10.0
001275,Wash Peri 4oz 2in 1 Aloe Vesta,Each,Perpetual,0.5,11.0,217.0
001282,Paste Stomahesive 2oz,Each,Perpetual,1.0,0.0,2.0
001288,Dressing Abthera Abdominal System Sterile,Each,Level 2 Surgery/Procedures/PACU,2.0,0.02,2.0
001317,Cath IV Angiocath 14GX5.25INCH,Each,Level 2 Surgery/Procedures/PACU,1.0,0.14,9.0
001329,Cath Uret 22fr Tiem,Each,Level 1 ED,1.0,0.04,3.0
001329,Cath Uret 22fr Tiem,Each,Level 2 Surgery/Procedures/PACU,1.0,0.04,3.0
001348,Walker Folding Adult 26x31in,Each,Level 1 ED,0.5,4.0,5.0
001348,Walker Folding Adult 26x31in,Each,Level 2 Surgery/Procedures/PACU,0.5,4.0,4.0
001348,Walker Folding Adult 26x31in,Each,"Level 5 Observation, Medical Tele & Non-Tele",0.5,6.0,7.0
001348,Walker Folding Adult 26x31in,Each,"Level 6 Telemetry, Cardiac & Stroke",0.5,3.0,3.0
001348,Walker Folding Adult 26x31in,Each,Perpetual,0.5,1.0,11.0
001349,Cath Coude 16fr 5ml Fol 2 Way,Each,Level 1 ED,1.0,0.1,5.0
001372,Suture Sofsilk 18in 3-0 FS1 Bk,Each,Level 7 ICU,0.5,0.2,6.0
001375,Suture Slk 30in 2-0 FSl Bk,Each,Level 7 ICU,0.5,0.5,21.0
001381,Cath Coude 18fr 5ml Fol 2 Way,Each,Level 1 ED,0.5,0.06,3.0
001383,Tray Insertion Umbilical W/O Cath Neo-Sert,Each,Level 1 ED,11.0,0.04,6.0
001384,Sponge Cotton Ball XL Strl,Each,Level 2 Surgery/Procedures/PACU,1.0,0.2,10.0
001384,Sponge Cotton Ball XL Strl,Each,Level 2 Surgery/Procedures/PACU,1.0,0.14,6.0
001387,Bandage Coban 4in Sterile LF (2084S),Each,Level 2 Surgery/Procedures/PACU,0.5,0.54,8.0
001388,Bandage Coban 6in Sterile LF (2086S),Each,Level 2 Surgery/Procedures/PACU,0.5,0.64,9.0
001391,Bandage Esmarch Sterile LF 4INCHX9FT,Case,Level 2 Surgery/Procedures/PACU,1.0,0.02,1.0
001393,Padding Undercast 3inx4yd Webril Strl,Each,Level 2 Surgery/Procedures/PACU,1.0,0.06,5.0
001394,Padding Undercast 4inx4yd Webril Strl,Each,Level 2 Surgery/Procedures/PACU,1.0,1.22,14.0
001395,Padding Undercast 6inx4yd Webril Strl,Each,Level 2 Surgery/Procedures/PACU,1.0,1.96,17.0
001395,Padding Undercast 6inx4yd Webril Strl,Each,Level 2 Surgery/Procedures/PACU,1.0,0.02,3.0
001396,Drsg Hydrgel Non-Sterile 2.5oz Triad Hydraulic Tb,Each,"Level 5 Observation, Medical Tele & Non-Tele",0.5,14.0,16.0
001396,Drsg Hydrgel Non-Sterile 2.5oz Triad Hydraulic Tb,Each,"Level 6 Telemetry, Cardiac & Stroke",0.5,11.0,11.0
001396,Drsg Hydrgel Non-Sterile 2.5oz Triad Hydraulic Tb,Each,Level 7 ICU,0.5,10.0,10.0
001396,Drsg Hydrgel Non-Sterile 2.5oz Triad Hydraulic Tb,Each,Perpetual,0.5,2.0,9.0
001398,Dressing VAC Large,Each,"Level 5 Observation, Medical Tele & Non-Tele",1.0,10.0,10.0
001398,Dressing VAC Large,Each,Perpetual,1.0,0.0,7.0
001399,Sponge Tonsil Med Radpq w/string Sterile,Each,Level 2 Surgery/Procedures/PACU,1.0,0.68,160.0
001405,Applicator Cotton Tip Sterile 3 Inch,Each,Level 2 Surgery/Procedures/PACU,1.0,2.74,108.0
001459,Connector Y Strl,Each,Level 2 Surgery/Procedures/PACU,0.5,0.06,5.0
001462,Cannula Nasal Ped 7ft Over-The-Ear LF,Each,Level 1 ED,1.0,0.02,2.0
001470,Stocking TED Knee Med Reg,Each,Perpetual,1.0,0.0,7.0
001471,Stocking TED Knee Med Long,Each,Level 2 Surgery/Procedures/PACU,1.0,5.0,5.0
001471,Stocking TED Knee Med Long,Each,Perpetual,1.0,0.0,5.0
001473,Stocking TED Thigh Lg Short,Each,Level 2 Surgery/Procedures/PACU,15.5,6.0,6.0
001473,Stocking TED Thigh Lg Short,Each,Perpetual,15.5,0.0,14.0
001474,Stocking TED Thigh Lg Long,Each,Perpetual,1.0,0.0,3.0
001475,Stocking TED Thigh Lg Reg,Each,Level 2 Surgery/Procedures/PACU,1.0,5.0,12.0
001475,Stocking TED Thigh Lg Reg,Each,Perpetual,1.0,0.0,6.0
001476,Stocking TED Thigh Sm Reg,Each,Level 2 Surgery/Procedures/PACU,1.0,12.0,12.0
001476,Stocking TED Thigh Sm Reg,Each,Perpetual,1.0,0.0,4.0
001477,Stocking TED Thigh Med Reg,Each,Level 2 Surgery/Procedures/PACU,1.0,11.0,11.0
001477,Stocking TED Thigh Med Reg,Each,Perpetual,1.0,0.0,6.0
001478,Stocking TED Thigh Med Short,Each,Perpetual,1.0,0.0,4.0
001479,Stocking TED Thigh Med Long,Each,Level 2 Surgery/Procedures/PACU,1.0,2.0,2.0
001479,Stocking TED Thigh Med Long,Each,Perpetual,1.0,0.0,3.0
001480,Stocking TED Knee Sm Reg,Each,Perpetual,1.0,0.0,3.0
001481,Stocking TED Knee Lg Xln Nyl,Each,Perpetual,0.5,0.0,3.0
001483,Stocking TED Thigh XL Reg Adj Waist Belt,Each,Level 2 Surgery/Procedures/PACU,1.0,4.0,6.0
001483,Stocking TED Thigh XL Reg Adj Waist Belt,Each,"Level 5 Observation, Medical Tele & Non-Tele",1.0,12.0,12.0
001483,Stocking TED Thigh XL Reg Adj Waist Belt,Each,Perpetual,1.0,0.0,8.0
001484,Stocking TED Knee Lg Reg,Each,Perpetual,1.0,0.0,7.0
001485,Stocking TED Knee XL Reg,Each,Level 2 Surgery/Procedures/PACU,0.5,12.0,12.0
001485,Stocking TED Knee XL Reg,Each,Perpetual,0.5,0.0,5.0
001487,Comb Black 7in,Each,"Level 5 Observation, Medical Tele & Non-Tele",0.5,288.0,288.0
001487,Comb Black 7in,Each,"Level 6 Telemetry, Cardiac & Stroke",0.5,37.0,37.0
001487,Comb Black 7in,Each,Level 7 ICU,0.5,19.0,19.0
001487,Comb Black 7in,Each,Perpetual,0.5,3.0,34.0
001488,Toothbrush Adult,Each,"Level 5 Observation, Medical Tele & Non-Tele",0.5,86.0,86.0
001488,Toothbrush Adult,Each,"Level 6 Telemetry, Cardiac & Stroke",0.5,50.0,50.0
001488,Toothbrush Adult,Each,Level 7 ICU,0.5,17.0,17.0
001488,Toothbrush Adult,Each,Perpetual,0.5,21.0,70.0
001509,Tube Blakemore 20fr 8in 1.5in Drnge Esoph NG,Each,Level 7 ICU,18.0,0.0,2.0
001521,Cream Sween 24 Moisterizer 2 Oz,Each,"Level 5 Observation, Medical Tele & Non-Tele",0.5,11.0,12.0
001521,Cream Sween 24 Moisterizer 2 Oz,Each,"Level 6 Telemetry, Cardiac & Stroke",0.5,12.0,12.0
001521,Cream Sween 24 Moisterizer 2 Oz,Each,Level 7 ICU,0.5,7.0,7.0
001521,Cream Sween 24 Moisterizer 2 Oz,Each,Perpetual,0.5,2.0,14.0
001522,Pad Sanitary Maxi Wng Ln,Each,Level 1 ED,0.5,33.0,33.0
001522,Pad Sanitary Maxi Wng Ln,Each,Level 2 Surgery/Procedures/PACU,0.5,19.0,19.0
001522,Pad Sanitary Maxi Wng Ln,Each,"Level 5 Observation, Medical Tele & Non-Tele",0.5,60.0,62.0
001522,Pad Sanitary Maxi Wng Ln,Each,"Level 6 Telemetry, Cardiac & Stroke",0.5,32.0,32.0
001522,Pad Sanitary Maxi Wng Ln,Each,Level 7 ICU,0.5,14.0,14.0
001522,Pad Sanitary Maxi Wng Ln,Each,Perpetual,0.5,11.0,224.0
001523,Ointment Critic Aid Skin Barrier,Each,Level 1 ED,0.5,2.0,2.0
001523,Ointment Critic Aid Skin Barrier,Each,"Level 5 Observation, Medical Tele & Non-Tele",0.5,10.0,14.0
001523,Ointment Critic Aid Skin Barrier,Each,"Level 6 Telemetry, Cardiac & Stroke",0.5,14.0,14.0
001523,Ointment Critic Aid Skin Barrier,Each,Level 7 ICU,0.5,9.0,9.0
001523,Ointment Critic Aid Skin Barrier,Each,Perpetual,0.5,3.0,11.0
001532,Cath Radial Art 20GX1.75IN,Each,Level 7 ICU,1.0,0.38,12.0
001536,Tray Cath Urologist W/Prep Supplies 16FR,Each,Level 1 ED,7.0,2.0,2.0
001536,Tray Cath Urologist W/Prep Supplies 16FR,Each,"Level 5 Observation, Medical Tele & Non-Tele",7.0,1.0,2.0
001536,Tray Cath Urologist W/Prep Supplies 16FR,Each,Level 7 ICU,7.0,2.0,2.0
001536,Tray Cath Urologist W/Prep Supplies 16FR,Each,Perpetual,7.0,0.0,0.0
001538,Stethoscope Esophageal/Rectal Temp,Each,Level 7 ICU,2.34,12.0,19.0
001538,Stethoscope Esophageal/Rectal Temp,Each,Perpetual,2.34,0.0,15.0
001558,Introducer Peripheral Intervention MicropuncTrans 5FRX21G,Each,Level 1 Imaging,3.0,0.14,9.0
001588,Set IV Extension Quad-fuse Microbore MaxZero,Each,Level 2 Surgery/Procedures/PACU,0.5,1.2,15.0
001588,Set IV Extension Quad-fuse Microbore MaxZero,Each,Level 7 ICU,0.5,0.4,9.0
001594,Wipe Microfiber Cloth 12x12 Disposable,Each,Level 1 EVS_1321,1.0,40.52,1718.0
001597,Wipe Barrier No Sting,Each,"Level 5 Observation, Medical Tele & Non-Tele",0.5,54.0,55.0
001597,Wipe Barrier No Sting,Each,"Level 6 Telemetry, Cardiac & Stroke",0.5,61.0,61.0
001597,Wipe Barrier No Sting,Each,Level 7 ICU,0.5,61.0,61.0
001597,Wipe Barrier No Sting,Each,Perpetual,0.5,8.0,108.0
001605,Cuffs Restraint Wrist TAT,Pair,Level 1 ED,1.0,0.38,7.0
001605,Cuffs Restraint Wrist TAT,Pair,"Level 5 Observation, Medical Tele & Non-Tele",1.0,0.0,1.0
001605,Cuffs Restraint Wrist TAT,Pair,"Level 5 Observation, Medical Tele & Non-Tele",1.0,0.56,1.0
001605,Cuffs Restraint Wrist TAT,Pair,"Level 6 Telemetry, Cardiac & Stroke",1.0,0.02,2.0
001605,Cuffs Restraint Wrist TAT,Pair,Level 7 ICU,1.0,0.14,4.0
001606,Cuffs Restraint Leg TAT,Pair,Level 1 ED,1.0,0.34,6.0
001606,Cuffs Restraint Leg TAT,Pair,"Level 5 Observation, Medical Tele & Non-Tele",1.0,0.0,1.0
001606,Cuffs Restraint Leg TAT,Pair,"Level 5 Observation, Medical Tele & Non-Tele",1.0,0.42,1.0
001606,Cuffs Restraint Leg TAT,Pair,"Level 6 Telemetry, Cardiac & Stroke",1.0,0.02,1.0
001606,Cuffs Restraint Leg TAT,Pair,Level 7 ICU,1.0,0.04,2.0
001626,Stocking TED Knee Lngth XXL LF,Each,Perpetual,1.0,0.0,7.0
001629,Stocking TED Knee XL Reg,Each,Level 2 Surgery/Procedures/PACU,1.0,12.0,12.0
001629,Stocking TED Knee XL Reg,Each,Perpetual,1.0,0.0,3.0
001652,Cannula Inner Size 5 For Trach Size 6.0,Each,Level 7 ICU,1.0,0.06,5.0
001653,Cannula Inner 7mm Trach Tube Blue Line,Each,Level 7 ICU,1.0,0.1,10.0
001654,Cannula Inner 8mm Trach Tube Blue Line,Each,Level 7 ICU,1.0,0.06,5.0
000522,Sol IV D5 LR 1000ml,Each,Level 2 Pharm,0.5,3.0,4.0
001705,Syringe Amber 60ml Enfit NS,Each,Level 1 Imaging,0.5,4.54,4.54
001705,Syringe Amber 60ml Enfit NS,Each,Level 1 Imaging,0.5,0.1,6.0
001705,Syringe Amber 60ml Enfit NS,Each,"Level 5 Observation, Medical Tele & Non-Tele",0.5,1.32,18.0
001705,Syringe Amber 60ml Enfit NS,Each,"Level 5 Observation, Medical Tele & Non-Tele",0.5,0.36,8.0
001705,Syringe Amber 60ml Enfit NS,Each,"Level 6 Telemetry, Cardiac & Stroke",0.5,1.04,13.0
001705,Syringe Amber 60ml Enfit NS,Each,Level 7 ICU,0.5,1.46,8.0
001710,Tube Feeding Sterile 4fr 40cm Poly Enfit,Each,Level 1 ED,1.0,0.02,2.0
000504,Sol IV D5 NaCl 0.225 1000 ml,Each,Level 2 Pharm,1.0,3.0,4.0
001900,Trocar 5mm x 100mm Z Thread,Each,Level 2 Surgery/Procedures/PACU,2.0,0.96,18.0
001901,Trocar Sleeve 5mm x 100mm Z Thread,Each,Level 2 Surgery/Procedures/PACU,1.0,1.42,25.0
001903,Trocar Endo 11mm x 100mm Z Threaded Fios,Each,Level 2 Surgery/Procedures/PACU,1.0,0.04,4.0
001906,Trocar Endo 12mm x 100mm Z Threaded Fios,Each,Level 2 Surgery/Procedures/PACU,2.0,0.04,4.0
001907,Trocar Sleeve 12mm x 100mm Z Threaded,Each,Level 2 Surgery/Procedures/PACU,1.5,0.06,6.0
001910,Trocar Endo 5mm x 100mm Fixation,Each,Level 2 Surgery/Procedures/PACU,1.0,0.24,9.0
001913,Trocar Endo 12mm x 100mm Fixation,Each,Level 2 Surgery/Procedures/PACU,1.0,0.04,3.0
001915,Trocar Endo 11mm x 100mm Optical Z Threaded,Each,Level 2 Surgery/Procedures/PACU,1.0,0.26,9.0
001916,Trocar Endo 12mm x 100mm Optical Z Threaded,Each,Level 2 Surgery/Procedures/PACU,1.0,0.62,13.0
002066,Cap Luer Lock Male/Female LF Sterile,Each,Level 2 Surgery/Procedures/PACU,0.5,3.16,60.0
002119,Swab Chloraprep 3ml Tinted,Each,Level 1 Imaging,0.5,0.28,11.0
002119,Swab Chloraprep 3ml Tinted,Each,Level 1 Imaging,0.5,0.14,5.0
002273,Mask Surg Fog-Free Precept Submicron,Each,Level 1 Imaging,0.5,0.28,29.0
002273,Mask Surg Fog-Free Precept Submicron,Each,Level 1 Imaging,0.5,0.42,25.0
002273,Mask Surg Fog-Free Precept Submicron,Each,Level 2 Surgery/Procedures/PACU,0.5,8.52,130.0
002758,Splint Pre-Cut Xf St Plast Grn 3InchX15Inch,Each,Level 2 Surgery/Procedures/PACU,1.0,0.28,23.0
3407-20,Envelope Patient Valuables,Each,Level 2 Surgery/Procedures/PACU,8.0,0.54,104.0
3407-20,Envelope Patient Valuables,Each,"Level 5 Observation, Medical Tele & Non-Tele",8.0,0.54,104.0
4105WNI,Ribbon Intermec 3400E Printer,Roll,Perpetual,3.0,0.14,16.0
004710,Reagent STA Calcium Chloride,Each,Level 3 Central Lab,5.0,0.02,5.0
004766,Blade Saw Oscillating Micro 20 x 9.5 x 0.64mm,Each,Level 2 Surgery/Procedures/PACU,5.5,0.02,4.0
004950,Burr Oval Carbide 4x48mm,Each,Level 2 Surgery/Procedures/PACU,8.5,0.02,2.0
005232,Burr Oval 8 Flute Carbide 4 x 70mm,Each,Level 2 Surgery/Procedures/PACU,3.5,0.02,2.0
005613,Blade Saw Sagittal Micro 25.5 x 9.5 x 0.40mm,Each,Level 2 Surgery/Procedures/PACU,4.5,0.02,4.0
005988,Suture Vicryl 18in 5-0 PS-2,Each,Level 1 ED,1.5,0.1,6.0
006144,Suture Slk 18in 3-0 RB1 Detach Bk,Each,Level 2 Surgery/Procedures/PACU,1.0,0.14,7.0
006297,Blade Saw Oscillating Micro 10 x 5.5 x 0.66mm,Each,Level 2 Surgery/Procedures/PACU,4.0,0.02,2.0
006298,Blade Saw Oscillating Micro 10 x 27mm,Each,Level 2 Surgery/Procedures/PACU,5.0,0.02,4.0
007851,Reagent Serum Goat Normal 20 ml,Each,Level 2 Surgery/Procedures/PACU,4.0,0.02,2.0
008873,Blade Beaver Ophthalmic Needle 3mm,Each,Level 2 Surgery/Procedures/PACU,4.5,0.12,11.0
009105,Catheter Foley 18f 5ml 2W Silicone Strl LF,Each,Perpetual,1.0,0.0,2.0
010981,Burr Round Carbide 2.1x51mm,Each,Level 2 Surgery/Procedures/PACU,4.5,0.02,3.0
011125,Brush Cleaning Nylon Instrument,Pack,Perpetual,2.0,0.0,2.0
011412,Film Parafilm Grade M 2 Inch x 250 Feet,Each,Level 3 Central Lab,2.5,0.02,2.0
011519,Water Sterile For Nebulizer Aquapak 700 760ml,Each,Respiratory Therapy,1.0,0.02,4.0
011545,Suture Vcrl 18in 2-0 SH Detach Viol,Each,Level 2 Surgery/Procedures/PACU,1.0,0.06,6.0
011874,Reload Stpl 75mm Linear Cut Blue,Each,Level 2 Surgery/Procedures/PACU,1.0,0.1,9.0
012628,Suture Ethl 18in 3-0 PS2 Bk,Each,Level 2 Surgery/Procedures/PACU,1.0,0.3,30.0
012930,Splint Intnsl Dyl Ii Si,Each,Level 2 Surgery/Procedures/PACU,4.5,0.2,16.0
013073,Suture Prolene 3-0 18in PS2 Blue,Each,Level 1 ED,2.0,0.3,43.0
013073,Suture Prolene 3-0 18in PS2 Blue,Each,Level 2 Surgery/Procedures/PACU,2.0,0.2,26.0
014692,Reagent Blood Bank Saline Certified 10 Liter,Each,Level 3 Central Lab,1.5,0.16,4.0
015292,Kit RPR Card Test BD MacroVue Latex Free 10 per pack,Each,Level 3 Central Lab,9.0,0.08,13.0
015406,Pipette Transfer Graduated Narrow-Stem Sterile 5 ml,Each,Level 3 Central Lab,14.0,1.38,341.0
015694,Scissors Surgical Iris Straight 4.75in,Each,Level 1 ED,9.5,0.06,12.0
015748,Dermacarrier Skin Grft Dermcarr Ii 1.5 1 Ratio Strl 3x8in,Each,Level 2 Surgery/Procedures/PACU,6.5,0.06,10.0
020106,Glove Surg Ltx PF Biogel Strl Sz 6.5,Each,Level 2 Surgery/Procedures/PACU,0.5,0.42,19.0
020185,Gwire Strt Ampltz Sup Stiff 0.035INCHX180CM,Each,Level 1 Imaging,2.5,0.02,2.0
020476,Mesh Marlex Flat Sheet 3 X 6in,Each,Level 2 Surgery/Procedures/PACU,1.0,0.02,1.0
020898,Tube ET Cuffed Preformed Oral Rae 6mm,Each,Level 2 Surgery/Procedures/PACU,1.0,0.02,3.0
020955,Dilator Vessel 0.038in 7fr 20cm,Each,Level 1 Imaging,1.5,0.06,4.0
020957,Dilator Vessel 0.038INCHX8FRX20CM,Each,Level 1 Imaging,2.5,0.06,5.0
020958,Dilator Vessell 0.038INCHX9FRX20CM,Each,Level 1 Imaging,3.5,0.02,4.0
020959,Dilator Vessell 0.038in 10fr 20cm,Each,Level 1 Imaging,3.0,0.02,4.0
